date,Risk-On,Risk-Off,Stagflation
2021-01-26,0.7389073682304301,0.26086868319828693,0.00022394857128257508
2021-01-27,0.6944774192586972,0.3052556538026124,0.00026692693868985367
2021-01-28,0.7062920098736852,0.2935381397760287,0.00016985035028550347
2021-01-29,0.707091042775777,0.2927791311643497,0.00012982605987280738
2021-02-01,0.7273285111183233,0.2725868296779261,8.46592037500077e-05
2021-02-02,0.7333797614878271,0.2665525521244082,6.768638776405051e-05
2021-02-03,0.7244770914000144,0.27544845814522045,7.445045476444518e-05
2021-02-04,0.6973936545214213,0.30249685433876383,0.00010949113981402798
2021-02-05,0.6686788712394199,0.33119211942659393,0.00012900933398518502
2021-02-08,0.6173430883750398,0.38246417410660627,0.00019273751835304073
2021-02-09,0.5737123678461735,0.4260784033448913,0.00020922880893413511
2021-02-10,0.4873958063471933,0.5122515482159833,0.000352645436822374
2021-02-11,0.44337595962982507,0.5563011576837146,0.000322882686459243
2021-02-12,0.3673921535051367,0.6321778542099727,0.00042999228488940224
2021-02-16,0.22782423878306152,0.7713282434637843,0.0008475177531531532
2021-02-18,0.17370660167508623,0.8254538748851628,0.000839523439749898
2021-02-19,0.1196632594315557,0.8793717628330942,0.000964977735349225
2021-02-22,0.08145875101691592,0.9174738472065292,0.0010674017765541517
2021-02-23,0.014691460095037138,0.9836575996995979,0.0016509402053642825
2021-02-24,0.01257532595993723,0.9859346682599825,0.0014900057800796133
2021-02-25,0.0034493767150192496,0.9948814586710437,0.0016691646139362212
2021-02-26,0.002044403222296987,0.9963307116111862,0.001624885166516043
2021-03-01,0.007187624383718936,0.991447130597406,0.001365245018874603
2021-03-02,0.03751174168721472,0.9615674792334991,0.000920779079285638
2021-03-04,0.08937026624413957,0.910063216010893,0.0005665177449666002
2021-03-05,0.18923261374253803,0.8104481666440815,0.00031921961337985665
2021-03-08,0.25895483637285377,0.7408544827322833,0.00019068089486243877
2021-03-09,0.29248828030165486,0.7073750448901336,0.00013667480821099616
2021-03-10,0.30352104788767054,0.6963581401036014,0.00012081200872753338
2021-03-11,0.29965686898902966,0.7002136368477246,0.00012949416324523996
2021-03-12,0.2775527612130697,0.7222775784451977,0.00016966034173204275
2021-03-15,0.25662630439453854,0.7431786911293301,0.0001950044761308928
2021-03-16,0.24158911352732323,0.7582137065340748,0.0001971799386014742
2021-03-17,0.21172938250238763,0.788020262856334,0.00025035464127808824
2021-03-18,0.20027507381784226,0.7994882231761278,0.00023670300602974766
2021-03-19,0.16853712864845447,0.8311542076307415,0.0003086637208037082
2021-03-23,0.14976303922869558,0.8498965239090674,0.0003404368622365512
2021-03-24,0.1282701285940557,0.8713069744848404,0.00042289692110338695
2021-03-25,0.08185776122343479,0.9173989798764397,0.0007432589001250605
2021-03-26,0.028821546508797778,0.9698535614228544,0.0013248920683475375
2021-03-29,0.08907504792932082,0.9101958150391791,0.0007291370314997947
2021-03-30,0.11929832777392431,0.880241333235917,0.0004603389901583008
2021-03-31,0.13050410129508766,0.8691349871279626,0.0003609115769495932
2021-04-01,0.14877711746932945,0.8509299292684211,0.0002929532622491282
2021-04-06,0.16448879199581365,0.8352564093826357,0.0002547986215503737
2021-04-07,0.181162684285943,0.8186126655286604,0.0002246501853964624
2021-04-08,0.2392590355274956,0.7605829540651761,0.00015801040732826765
2021-04-09,0.2681844105772395,0.7316763335099077,0.00013925591285274003
2021-04-12,0.27598299471528515,0.7238586711858422,0.00015833409887237512
2021-04-13,0.2999009258359361,0.6999493619087894,0.0001497122552742495
2021-04-14,0.32171123756594555,0.678148611630756,0.00014015080329832325
2021-04-15,0.3404280078944882,0.6594425218562256,0.00012947024928608057
2021-04-16,0.33973139432358507,0.6601106916613131,0.00015791401510181172
2021-04-19,0.34255140468483225,0.6572839383728581,0.00016465694230976898
2021-04-20,0.3450575059074066,0.6547629608657495,0.00017953322684422684
2021-04-21,0.4447528973529876,0.5551372329606388,0.00010986968637397061
2021-04-22,0.4986234781935947,0.5012963217999973,8.020000640822856e-05
2021-04-23,0.5278472027036164,0.4720830729681613,6.972432822228072e-05
